net,length_um
reg_file.memory\[7\]\[5\],17.22
_0171_,17.2
_1500_,17.2
_1827_,17.2
_2867_,17.195
_0568_,17.18
_0774_,17.16
_0907_,17.16
_1549_,17.16
_1594_,17.16
_2609_,17.14
_1574_,17.12
_1585_,17.1
_1638_,17.09
reg_file.memory\[6\]\[24\],17.09
_1277_,17.08
_0806_,17.07
_2218_,17.02
_2832_,17
_0232_,16.985
reg_file.memory\[9\]\[30\],16.98
reg_file.memory\[5\]\[0\],16.96
reg_file.memory\[8\]\[28\],16.96
_1264_,16.95
_1390_,16.94
_2806_,16.94
reg_file.memory\[4\]\[29\],16.9
_1016_,16.86
reg_file.memory\[0\]\[10\],16.84
_0866_,16.8
_1828_,16.8
reg_file.memory\[8\]\[10\],16.8
_0744_,16.78
_1323_,16.765
_0097_,16.745
_2283_,16.72
_2044_,16.68
reg_file.memory\[0\]\[13\],16.68
_1464_,16.66
_2696_,16.66
_1379_,16.64
_1402_,16.64
_1766_,16.64
_2468_,16.64
reg_file.memory\[4\]\[7\],16.64
reg_file.memory\[5\]\[9\],16.64
_1087_,16.62
_1200_,16.56
_1769_,16.54
reg_file.memory\[5\]\[20\],16.54
_2368_,16.52
_0010_,16.48
reg_file.memory\[7\]\[9\],16.44
_2190_,16.38
_1983_,16.36
reg_file.memory\[1\]\[22\],16.36
reg_file.memory\[6\]\[14\],16.36
_2257_,16.34
_0748_,16.26
_1085_,16.22
reg_file.memory\[1\]\[19\],16.22
_2168_,16.21
_0207_,16.185
reg_file.memory\[5\]\[26\],16.18
reg_file.memory\[8\]\[14\],16.18
_0810_,16.14
_1498_,16.14
_2061_,16.14
reg_file.memory\[25\]\[15\],16.14
_0005_,16.125
clk_div.counter\[9\],16.125
_1427_,16.1
_2314_,16.1
_0126_,16.085
_1210_,16.06
_1221_,16.04
reg_file.memory\[2\]\[11\],16.02
reg_file.memory\[5\]\[25\],16.02
_1477_,16
_0762_,15.98
reg_file.memory\[25\]\[19\],15.98
_1219_,15.96
reg_file.memory\[7\]\[0\],15.96
_1987_,15.94
_2791_,15.94
reg_file.memory\[4\]\[4\],15.94
reg_file.memory\[0\]\[19\],15.92
_0138_,15.905
reg_file.memory\[1\]\[13\],15.9
_0923_,15.88
_1273_,15.84
_1372_,15.84
_1321_,15.8
reg_file.memory\[10\]\[2\],15.8
reg_file.memory\[15\]\[10\],15.8
reg_file.memory\[4\]\[18\],15.8
reg_file.memory\[6\]\[16\],15.8
_0328_,15.765
reg_file.memory\[10\]\[23\],15.76
_2584_,15.72
reg_file.memory\[10\]\[25\],15.72
reg_file.memory\[4\]\[19\],15.72
_0666_,15.7
_0508_,15.68
_1089_,15.68
_1205_,15.68
_2157_,15.68
_2780_,15.68
_0657_,15.66
reg_file.memory\[0\]\[30\],15.66
_0820_,15.64
_1364_,15.64
_1520_,15.64
reg_file.memory\[21\]\[10\],15.64
reg_file.memory\[21\]\[2\],15.62
reg_file.memory\[8\]\[30\],15.62
_1452_,15.61
_0045_,15.585
_1113_,15.53
_1752_,15.52
_0412_,15.505
reg_file.memory\[5\]\[16\],15.48
reg_file.memory\[9\]\[16\],15.48
_0123_,15.46
_1017_,15.44
reg_file.memory\[10\]\[21\],15.44
reg_file.memory\[9\]\[7\],15.44
_1432_,15.42
_2679_,15.42
reg_file.memory\[7\]\[3\],15.42
_1217_,15.4
_1562_,15.4
_1516_,15.38
_1553_,15.38
